procurement_id,vendor_name,contract_date,economic_object_code,description_eng,contract_value,commodity_type_en,solicitation_procedure_en,owner_org_en,award_criteria_en,is_IB,PSIB,is_Tech
3000758543,GENOME QUEBEC,2023-01-19T00:00:00Z,430.0,Scientific services,40137.6,Service,Competitive – Open Bidding,Agriculture and Agri-Food Canada,Not applicable,False,None,True
3000762275,HARTLAND AGROMART LTD,2023-03-14T00:00:00Z,1121.0,"Salt, sulphur, ores, earth and stone",13000.0,Good,Competitive – Traditional,Agriculture and Agri-Food Canada,Lowest Price,False,None,False
3000759579,GLACIER FARMMEDIA LIMITED PARTNERSHIP,2023-02-02T00:00:00Z,361.0,Electronic subscriptions and electronic publications,11566.8,Service,Non-Competitive,Agriculture and Agri-Food Canada,Not applicable,False,None,False
3000759047,SDL INTERNATIONAL (CANADA) INC,2023-01-26T00:00:00Z,583.0,License/Maintenance fees for application software (including COTS) and application development and delivery software,12954.32,Service,Non-Competitive,Agriculture and Agri-Food Canada,Not applicable,False,None,True
3000758553,GENOME QUEBEC,2023-01-19T00:00:00Z,430.0,Scientific services,26758.4,Service,Competitive – Open Bidding,Agriculture and Agri-Food Canada,Not applicable,False,None,True
3000758006,KIRCHNER MACHINE LIMITED,2023-01-10T00:00:00Z,1219.0,Other machinery and parts,21015.81,Good,Competitive – Traditional,Agriculture and Agri-Food Canada,Lowest Price,False,None,False
3000757672,LES ENTREPRISES RB,2023-01-04T00:00:00Z,656.0,"Heating, air-conditioning and refrigeration equipment",12892.15,Service,Competitive – Traditional,Agriculture and Agri-Food Canada,Lowest Price,False,None,False
3000759044,RACK PETROLEUM LTD,2023-01-26T00:00:00Z,1139.0,Miscellaneous Chemical products,16513.07,Good,Competitive – Traditional,Agriculture and Agri-Food Canada,Lowest Price,False,None,False
3000759054,BEAULIER INC.,2023-01-26T00:00:00Z,491.0,Management consulting,13521.06,Service,Non-Competitive,Agriculture and Agri-Food Canada,Not applicable,False,None,False
3000759528,G. DOYON CUISINE INC.,2023-02-01T00:00:00Z,1243.0,"Measuring, controlling, laboratory, medical and optical equipment and parts",11422.76,Good,Non-Competitive,Agriculture and Agri-Food Canada,Not applicable,False,None,True
3000762440,GREENLAND EQUIPMENT LTD.,2023-03-16T00:00:00Z,1219.0,Other machinery and parts,21262.5,Good,Competitive – Traditional,Agriculture and Agri-Food Canada,Lowest Price,False,None,False
3000762800,LES PNEUS ROBERT BERNARD (ST-ELIE),2023-03-23T00:00:00Z,1267.0,"Miscellaneous vehicles Parts, Including Tires and Tubes",17966.11,Good,Non-Competitive,Agriculture and Agri-Food Canada,Not applicable,False,None,False
3000755619,GRAYBRIDGE MALKAM,2023-03-01T00:00:00Z,447.0,Tuition fees and costs of attending courses including seminars not elsewhere specified,39816.0,Service,Non-Competitive,Agriculture and Agri-Food Canada,Not applicable,False,None,False
3000758141,CEDARLANE LABORATORIES LTD,2023-01-12T00:00:00Z,1139.0,Miscellaneous Chemical products,13535.54,Good,Non-Competitive,Agriculture and Agri-Food Canada,Not applicable,False,None,False
3000762801,NOTI-SECUR INC.,2023-03-14T00:00:00Z,630.0,Office buildings,29003.71,Construction,Non-Competitive,Agriculture and Agri-Food Canada,Not applicable,False,None,False
3000760597,SYSMEX CANADA INC,2023-02-16T00:00:00Z,430.0,Scientific services,23999.76,Service,Non-Competitive,Agriculture and Agri-Food Canada,Not applicable,False,None,True
3000759594,DGH ENGINEERING LTD.,2023-02-02T00:00:00Z,630.0,Office buildings,30187.5,Service,Competitive – Open Bidding,Agriculture and Agri-Food Canada,Not applicable,False,None,False
3000760313,WESTERN AG INNOVATIONS INC.,2023-02-13T00:00:00Z,430.0,Scientific services,21772.8,Service,Non-Competitive,Agriculture and Agri-Food Canada,Not applicable,False,None,True
3000759596,FISHER SCIENTIFIC,2023-02-02T00:00:00Z,1243.0,"Measuring, controlling, laboratory, medical and optical equipment and parts",10701.6,Good,Competitive – Traditional,Agriculture and Agri-Food Canada,Lowest Price,False,None,True
3000762761,PROWEST AG LTD,2023-03-22T00:00:00Z,1115.0,"Miscellaneous food, food materials and food preparations",30044.0,Good,Competitive – Traditional,Agriculture and Agri-Food Canada,Lowest Price,False,None,False
3000761584,BIOSYSTEMES,2023-03-02T00:00:00Z,473.0,Information technology and telecommunications consultants,10411.2,Service,Non-Competitive,Agriculture and Agri-Food Canada,Not applicable,False,None,True
3000761588,FERME MELGA,2023-03-02T00:00:00Z,1111.0,"Live animals, including their fodder",12000.0,Good,Non-Competitive,Agriculture and Agri-Food Canada,Not applicable,False,None,False
3000757711,EASTERN SIDING SYSTEMS INC.,2023-01-05T00:00:00Z,628.0,Other engineering works,38815.33,Construction,Competitive – Selective Tendering,Agriculture and Agri-Food Canada,Lowest Price,False,None,False
3000761049,GATEWAY MECHANICAL SERVICES INC.,2023-02-23T00:00:00Z,656.0,"Heating, air-conditioning and refrigeration equipment",21000.0,Service,Non-Competitive,Agriculture and Agri-Food Canada,Not applicable,False,None,False
3000756480,EBSCO CANADA LTD,2023-02-01T00:00:00Z,361.0,Electronic subscriptions and electronic publications,81826.55,Service,Non-Competitive,Agriculture and Agri-Food Canada,Not applicable,False,None,False
3000761050,VIDCRUITER INC,2023-02-23T00:00:00Z,583.0,License/Maintenance fees for application software (including COTS) and application development and delivery software,69813.66,Service,Competitive – Traditional,Agriculture and Agri-Food Canada,Not applicable,False,None,True
3000761595,SHOULDICE MECHANICAL INC.,2023-02-15T00:00:00Z,630.0,Office buildings,17887.9,Service,Non-Competitive,Agriculture and Agri-Food Canada,Not applicable,False,None,False
20230503B,QIAGEN CANADA INC.,2023-03-01T00:00:00Z,1243.0,"Measuring, controlling, laboratory, medical and optical equipment and parts",44908.98,Good,Advance Contract Award Notice,Agriculture and Agri-Food Canada,Not applicable,False,None,True
3000761054,UNIVERSITY OF SASKATCHEWAN,2023-02-23T00:00:00Z,430.0,Scientific services,20000.0,Service,Non-Competitive,Agriculture and Agri-Food Canada,Not applicable,True,None,True
3000759605,THOMAS SCIENTIFIC,2023-02-02T00:00:00Z,1243.0,"Measuring, controlling, laboratory, medical and optical equipment and parts",10983.85,Good,Competitive – Traditional,Agriculture and Agri-Food Canada,Lowest Price,False,None,True
3000759415,AGVISE LABORATORIES INC,2023-01-31T00:00:00Z,431.0,Scientific consultants,62900.56,Service,Advance Contract Award Notice,Agriculture and Agri-Food Canada,Not applicable,False,None,True
3000760331,GENOME QUEBEC,2023-02-16T00:00:00Z,430.0,Scientific services,10624.85,Service,Non-Competitive,Agriculture and Agri-Food Canada,Not applicable,False,None,True
3000758152,CHEEMA CLEANING SERVICES LTD,2023-01-12T00:00:00Z,811.0,Contracted building cleaning,14882.1,Service,Competitive – Open Bidding,Agriculture and Agri-Food Canada,Lowest Price,False,None,False
3000757782,KB HEATING & AIR CONDITIONING LTD,2023-01-06T00:00:00Z,656.0,"Heating, air-conditioning and refrigeration equipment",42000.0,Service,Competitive – Open Bidding,Agriculture and Agri-Food Canada,Not applicable,False,None,False
3000758155,CHUBB EDWARDS,2023-01-12T00:00:00Z,658.0,"Electric lighting, distribution and control equipment",17116.37,Service,Non-Competitive,Agriculture and Agri-Food Canada,Not applicable,False,None,False
3000762454,SERVICES MATREC,2023-01-01T00:00:00Z,859.0,Other Business services not Elsewhere Specified,14803.03,Service,Non-Competitive,Agriculture and Agri-Food Canada,Not applicable,False,None,False
3000762010,POWER-LINK TECHNOLOGIES LTD.,2023-03-09T00:00:00Z,645.0,Other buildings,17871.0,Service,Competitive – Open Bidding,Agriculture and Agri-Food Canada,Not applicable,False,None,False
3000760576,BDO CANADA LLP,2023-02-16T00:00:00Z,491.0,Management consulting,51975.0,Service,Competitive – Open Bidding,Agriculture and Agri-Food Canada,Lowest Price,False,None,False
3000758330,LMB INTERPRETATION SYSTEMS SERVICES,2023-01-16T00:00:00Z,522.0,"Rental of image/video communications equipment (includes telepresence/video conferencing equipment, cabling, parts and periphera",18832.83,Service,Competitive – Traditional,Agriculture and Agri-Food Canada,Lowest Price,False,None,False
3000761299,TRIOLE SMALL ENGINE REPAIR LTD.,2023-02-28T00:00:00Z,1212.0,Tools and implements,11173.62,Good,Non-Competitive,Agriculture and Agri-Food Canada,Not applicable,False,None,False
3000761065,FORD MOTOR COMPANY OF CANADA,2023-02-23T00:00:00Z,1261.0,Road motor vehicles,82670.63,Good,Competitive – Open Bidding,Agriculture and Agri-Food Canada,Not applicable,False,None,False
80005963,PURESPIRIT SOLUTIONS INC,2023-03-16T00:00:00Z,1283.0,Computer equipment related to distributed computing environment (DCE)-Desktop/personal/portable (includes all related parts and,102304.55,Good,Competitive – Open Bidding,Agriculture and Agri-Food Canada,Lowest Price,True,Voluntary Set-Aside,True
3000759070,LIFE TECHNOLOGIES INC,2023-01-26T00:00:00Z,1139.0,Miscellaneous Chemical products,12979.96,Good,Competitive – Traditional,Agriculture and Agri-Food Canada,Not applicable,False,None,False
3000759628,JEAN-PIERRE PARE 9318-2442 QUEBEC INC,2023-02-02T00:00:00Z,1111.0,"Live animals, including their fodder",18384.5,Good,Non-Competitive,Agriculture and Agri-Food Canada,Not applicable,False,None,False
3000762849,CANADIAN COUNCIL ON ANIMAL CARE,2023-03-24T00:00:00Z,821.0,Membership fees,12098.0,Service,Non-Competitive,Agriculture and Agri-Food Canada,Not applicable,False,None,False
3000761104,PARRISH & HEIMBECKER LIMITED,2023-02-23T00:00:00Z,1139.0,Miscellaneous Chemical products,14608.94,Good,Competitive – Traditional,Agriculture and Agri-Food Canada,Lowest Cost-per-Point,False,None,False
3000758229,LGC GENOMICS LLC,2023-01-13T00:00:00Z,1243.0,"Measuring, controlling, laboratory, medical and optical equipment and parts",27235.09,Good,Non-Competitive,Agriculture and Agri-Food Canada,Not applicable,False,None,True
3000760131,FISHER SCIENTIFIC,2023-02-09T00:00:00Z,1243.0,"Measuring, controlling, laboratory, medical and optical equipment and parts",19622.24,Good,Competitive – Traditional,Agriculture and Agri-Food Canada,Lowest Price,False,None,True
3000760121,MIKADO ELECTRIC,2023-02-09T00:00:00Z,658.0,"Electric lighting, distribution and control equipment",31025.4,Service,Competitive – Open Bidding,Agriculture and Agri-Food Canada,Not applicable,False,None,False
3000758137,WATERS LIMITED,2023-01-12T00:00:00Z,660.0,"Measuring, controlling, laboratory, medical and optical instruments, apparatus and accessories",43945.21,Service,Advance Contract Award Notice,Agriculture and Agri-Food Canada,Not applicable,False,None,True
3000757720,ILLUMINA CANADA ULC,2023-01-05T00:00:00Z,1243.0,"Measuring, controlling, laboratory, medical and optical equipment and parts",19494.72,Good,Non-Competitive,Agriculture and Agri-Food Canada,Not applicable,False,None,True
80006080,HYPERTECHNOLOGIE CIARA INC.,2023-02-03T00:00:00Z,1283.0,Computer equipment related to distributed computing environment (DCE)-Desktop/personal/portable (includes all related parts and,78532.74,Good,Non-Competitive,Agriculture and Agri-Food Canada,Not applicable,False,None,True
3000761928,GFL ENVIRONMENTAL SERVICES INC,2023-03-08T00:00:00Z,859.0,Other Business services not Elsewhere Specified,10731.45,Service,Competitive – Traditional,Agriculture and Agri-Food Canada,Variations or combinations of the above methods,False,None,False
3000759132,THOMAS SCIENTIFIC,2023-01-26T00:00:00Z,1243.0,"Measuring, controlling, laboratory, medical and optical equipment and parts",11066.4,Good,Competitive – Traditional,Agriculture and Agri-Food Canada,Lowest Price,False,None,True
3000762031,CARGILL LTD.,2023-03-09T00:00:00Z,1174.0,Horticultural products,12978.0,Good,Competitive – Traditional,Agriculture and Agri-Food Canada,Lowest Price,False,None,False
3000761462,IRVING ENERGY,2023-03-01T00:00:00Z,1126.0,Heavy fuel oil,60278.39,Good,Competitive – Open Bidding,Agriculture and Agri-Food Canada,Not applicable,False,None,False
3000758247,VWR INTERNATIONAL CO,2023-01-13T00:00:00Z,1243.0,"Measuring, controlling, laboratory, medical and optical equipment and parts",23200.32,Good,Competitive – Traditional,Agriculture and Agri-Food Canada,Lowest Price,False,None,True
