Company ID,Company Code,Approval Date,Company Operating Name,Company Legal Name,Email,Phone Number,Fax Number,URL,City,Province,Address 1,Address 2,Postal Code,Company Description,Value of Contracts,Profile Link,Primary Industry NAICS Code,Alternate NAICS Codes,GSIN Codes
97E049E361115173E0531B96D48E86D3,4AYKAH7PR9CZ,,Little Miss Chief Gourmet Products Inc,Little Miss Chief Gourmet Products Inc,lmchief@telus.net,,,http://www.littlemisschief.com,Westbank,British Columbia,128-2440 Old Okanagan Hwy,,V4T1X6,From the land renowned for salmon comes the worlds finest gourmet smoked wild Pacific salmonFrom a recipe passed through generation comes the delicate balance of exquisite flavours that is making Little Miss Chief sought after around the ,,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E361115173E0531B96D48E86D3,311710 - Seafood Product Preparation and Packaging,413140 - Fish and Seafood Product Wholesaler-Distributors | ,
CC8CA958AD223C498A2E132D2D10015A,EAYKAHN8BTGP,,'Noctua Publishing' or 'johnpaquin.ca',Noctua Publishing Inc.,john@johnpaquin.ca,7053459696,,https://www.johnpaquin.ca,Orillia,Ontario,304-45 Mississaga St E,,L3V 1V4,Johnpaquinca is a writing services editing sensitivity reading writers coaching dept focussed on helping new and struggling writers get their manuscripts ready for publishing johnpaquinca is also used as a platform to market books written ,,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=CC8CA958AD223C498A2E132D2D10015A, - ,,
4ED07C18E03B6B4DBA06866687D38D20,FB67EZE0K7M0,2024-05-06,(Re)Rooting Indigenous Leadership Incorporated,(Re)Rooting Indigenous Leadership Incorporated,sarah@rerooting-indg.com,403-836-2021,,https://rerooting-indg.com/,Calgary,Alberta,1420 107 Ave,,T2W 0B9,Rerooting Indigenous Leadership Inc is an Indigenous women-run company dedicated to fostering the growth and empowerment of Indigenous leaders  ReRooting Indigenous Leadership Inc  offers personalized training and development tailored ,,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=4ED07C18E03B6B4DBA06866687D38D20, - ,,
97E049E3628B5173E0531B96D48E86D3,6AYKAHB4QPUS,,A & A Technical Services,974086 NWT Ltd.,al@aatechnical.ca,,,http://www.aatechnical.ca,Yellowknife,Northwest Territories,P.O. Box 2922,327B Old Airport Rd,X1A2R2,Supply woven and non-woven geotextiles geogrids supplyinstall geomembrane lining systems PRS tough Cell3D cellular confinement,,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=97E049E3628B5173E0531B96D48E86D3,541690 - Other Scientific and Technical Consulting Services,561990 - All Other Support Services | ,E199D - Environmental Services | 5179F - Building/Installation Special Trade Services  Not Elsewhere Specified | 5131C - Highways  Roads  Railways   Airfield Runways | 5169D - Other Installation Work | 5139A - Construction Services  Not Elsewhere Specified | E108F - Northern Contaminated Site Environmental Clean-up Work/Services | 
68F379B51E0F934196AD1BD48168F9DA,7B4EGAFR7ZPF,2024-02-23,A Maze N Fun Inc.,A Maze N Fun Inc.,info@amazenfun.ca,7058055883,,https://www.amazenfun.ca,Sudbury,Ontario,1177 Barrydowne Rd.,Unit 101,P3A3V4,Inflatable and amusement device rentals event services festivals,,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=68F379B51E0F934196AD1BD48168F9DA, - ,713110 - Amusement and Theme Parks | 713999 - All other amusement and recreation industries | 713990 - All Other Amusement and Recreation Industries | ,T004B - Events Planning and Management | 
08FE19A083308B45B707D10BC2F0F165,8AYKAHMEKFWC,,A&M Construction,Abbass & McLean Construction Inc,amgoosebay@gmail.com,709-896-0492,,,Happy Valley Goose Bay,Newfoundland And Labrador,68 Churchill Street,PO Box 1291,a0p1c0,Abbass  McLean Construction are Residential and Commercial general contractors  We specialize in turnkey constructions and renovatioremodel work   Our operations include custom kitchen cabinetry fabrication and installation including fabriction ,,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=08FE19A083308B45B707D10BC2F0F165,236220 - Commercial and Institutional Building Construction,236110 - Residential Building Construction | ,5128B - Construction of Health Buildings | 5129B - Construction of Other Buildings | 5121A - Construction of One and Two Dwelling Buildings | 5123B - Construction of Warehouses and Industrial Buildings | 5127B - Construction of Educational Buildings | 5122A - Construction of Multi-Dwelling Buildings | 5124B - Construction of Commercial Buildings | 
61394D175A91D340AD0E53A89188EEA0,1AYKAHM8FZYB,,A-Teck Appraisals Ltd,A-Teck Appraisals Ltd,trevor@ateck.ca,2506491111,,https://www.a-teckappraisals.com/,Prince George,British Columbia,210-1877 Queensway,,V2L 1L9,Property appraisal firm valuing all types of propertys,,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=61394D175A91D340AD0E53A89188EEA0, - ,,R118AB - Real Estate Advisory Services | 
D974E2A4ED78EA4ABCE56D6586338385,1AYKAHCUF5XN,,A. G. CHAPMAN ENTERPRISES,ALFRED GORDON CHAPMAN,agchapmanenterprises@yahoo.com,(705) 856-2227,,,Wawa,Ontario,20 WHITESANDS DRIVE,BOX 32 RR1 SITE 8,P0S 1K0,Alfred Gordon Chapman has been in the logging industry  for 35 years  Having learned the business from my Father and worked with my whole family in the businessOur services are an array of what I worked in all my 35 years and I have gained ,,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=D974E2A4ED78EA4ABCE56D6586338385, - ,213119 - Other Support Activities for Mining | 484223 - Forest Products Trucking  Local | 237210 - Land Subdivision | 238910 - Site Preparation Contractors | ,5139C - General Heavy Construction | K113A - Snow Plowing and Removal | 5153A - Roofing  Siding and Sheet Metal Installation Services | 5179I - Other Building Completion and Finishing | N5610L - Stone and Aggregate | F010B - Forestry Services  Not Elsewhere Specified | V505A - Storage and Warehousing | V001B - Trucking | WR1920 - FISHING VESSELS - RENTAL | 5112B - Demolition Work | N3805 - Earthmoving and Excavating Equipment | N5410 - Prefabricated and Portable Buildings | 5131C - Highways  Roads  Railways   Airfield Runways | N2330 - Trailers | WR2420 - TRACTORS WHEELED - RENTAL | M110A - Property Management - Office Space/Administrative Buildings | 5139A - Construction Services  Not Elsewhere Specified | WR2330 - TRAILERS - RENTAL | E108F - Northern Contaminated Site Environmental Clean-up Work/Services | N5510 - Lumber and Related Basic Wood Material | 
7B13E59AB558374CBF2B5F90FF2622BD,3AYKAHN4KQTC,,A. Lana s cash for scrap cars inc.,A. Lana s cash for scrap cars inc.,,6047038148,,http://alanascashforscrapcars.ca/,Chilliwack,British Columbia,46177A skowkale crescent,,V4Z1A2,We pay cash for scrap vehicles and we tow them away with our own truck for them to be recycled,,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=7B13E59AB558374CBF2B5F90FF2622BD, - ,,
FC34F3A590CF3F45A9A7A13A6A951B2B,FAYKAHNJVA02,,A.C. Construction,A.C. Construction Ltd.,andrew@acconstructionltd.com,8674457362,,,Yellowknife,Northwest Territories,176 Jeske Crescent,,X1A3V7,AC Construction Ltd provides efficient and quality construction and renovation services in Yellowknife NT and the surrounding area We specialize in residential new construction foundation to finish but offer a wide variety of services ,,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=FC34F3A590CF3F45A9A7A13A6A951B2B, - ,238130 - Framing Contractors | 236110 - Residential Building Construction | 238170 - Siding Contractors | 238310 - Drywall and Insulation Contractors | 238320 - Painting and Wall Covering Contractors | 238330 - Flooring Contractors | 238350 - Finish Carpentry Contractors | ,5122A - Construction of Multi-Dwelling Buildings | 5121A - Construction of One and Two Dwelling Buildings | 5172A - Plastering Work | 5174A - Floor and Wall Tiling Work | 5175B - Carpentry and Flooring | 5176AB - Carpentry Services | 5179FB - General Contractor Services  Not Elsewhere Specified | 
A88A916C571478488CAC3A8B6F13AA7E,8B47U05MJD16,2024-01-31,A.D. Hanslip Ltd.,A.D. Hanslip Ltd.,miki@adhanslip.com,204791-3095,204417-8540,https://www.adhanslip.com,East St. Paul,Manitoba,Suite 2  3014 Henderson Hwy,,r2e0h9,We are a Manitoba Company who been providing Heavy Civil construction services in Northern Communities in Manitoba Saskatchewan and Ontario since 1998  We are proud to be 100 Indigenous owned  We provide the following services general contracting ,,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=A88A916C571478488CAC3A8B6F13AA7E, - ,,
1B37D17BE2A6CF42AF7BF8CFADB26D17,CB69ZZ3BYUFW,2024-04-25,A.D. Tree Service,Service d arbre A.D.,nugediabo@gmail.com,4383504043,,,Kahnawake,Quebec,P.O. Box 795,,J0L 1B0,Tree cutting trimming pruningTree felling  land clearingTree cutting around structures ei Power lines homes roads etc,,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=1B37D17BE2A6CF42AF7BF8CFADB26D17, - ,,
22A02270B51A0E48A43662D72E680556,6AYKAHHNXECW,,A.E.W. Limited Partnership,A.E.W. Limited Partnership,doaten@nntc.ca,250 455 2711,250 455 2565,https://www.nntc.ca,Lytton,British Columbia,PO Box 430,St Georges Rd.,V0K 1Z0,AEW LP was formed in 2017 by Nlakapamux Nation Tribal Council NNTC member communities to carry out on the ground work related to archaeology the environment and wildlife protection This work has been made necessary by the activities of ,,http://www.sac-isc.gc.ca/REA-IBD/eng/profile?id=22A02270B51A0E48A43662D72E680556,81 - Other Services (except Public Administration),,E199D - Environmental Services | 
